word,score
jolly pirate donuts,287.0
trinidad and tobago,287.0
catch a case,286.0
balls are touching,286.0
ho fo sho,286.0
toronto maple leafs,285.0
frank the tank,285.0
loo loo loo,285.0
hold it down,285.0
clean the pipes,285.0
drop a spike,285.0
pinch and roll,284.0
bender's top 10,284.0
fail at life,283.0
jack and jill,283.0
b & e,283.0
get a grip,283.0
give a shit,282.0
world war 3,282.0
kurt cobain's killer,282.0
sit and spin,282.0
tic tac titties,282.0
a b c,282.0
go to town,282.0
full metal jacket,282.0
icha icha paradise,282.0
george bush comeback,282.0
at the drive-in,281.0
duality of man,281.0
red light district,281.0
viva la bam,280.0
spit or swallow,280.0
less than jake,280.0
italian hand job,280.0
good idea fairy,280.0
blow a load,279.0
best band ever,279.0
boards of canada,278.0
hold me down,278.0
gift of gab,278.0
whip it out,278.0
gamefaqs message boards,278.0
on the rocks,278.0
am i bovvered?,278.0
pump and dump,277.0
black magician girl,277.0
hook me up,277.0
whole nine yards,277.0
kenan and kel,277.0
screwed the pooch,277.0
jimi fucking hendrix,277.0
magic sausage ride,277.0
u of t,276.0
how's it hangin',276.0
irish car bomb,276.0
super smash bros.,276.0
erotic stories ,275.0
pope penis tester,275.0
east st. louis,275.0
arlington  va,274.0
black man's pinch,274.0
smoke a bowl,274.0
russian candy cane,274.0
cho seung hui,273.0
on your six,273.0
magic: the gathering,273.0
la petite mort,273.0
curly haired girls,273.0
ham and egger,273.0
sideways sloppy joe,272.0
a fire inside,272.0
shiver me timbers,272.0
the prophet muhammad,272.0
make out slut,272.0
fuck me dead,272.0
shake and bake,272.0
final fantasy x,272.0
i got you,271.0
beat your meat,271.0
the scarlet letter,271.0
the buffalo theory,271.0
el oh el,271.0
high on life,271.0
bob the builder,271.0
george dubya douche,270.0
kiss my ass,270.0
in and out,270.0
chak de phatte,270.0
bite the bullet,270.0
oh the humanity,269.0
alabama porch monkey,269.0
keith richards' ghost,269.0
university high school,269.0
brighton & hove,269.0
i don't know,269.0
google that shit,268.0
dita von teese,268.0
dragon ball z,268.0
stir the pot,268.0
dirty cab ride,268.0
houdini  the,268.0
crack is whack,268.0
up shit creek,268.0
high school drama,267.0
push up bra,267.0
watch a movie,267.0
the pencil test,267.0
shit for brains,267.0
cum & cover,267.0
lesbian bed death,266.0
how's it going,266.0
pop the trunk,265.0
cabbage patch snatch,265.0
s club 7,265.0
lock it up,265.0
porky piggin' it,265.0
big sausage pizza,265.0
di di mau,265.0
breakfast of champions,265.0
twingle butt hair,265.0
san diego state,265.0
track and field,265.0
bulgarian gas mask,264.0
i <3 u,264.0
beat it up,264.0
fuck my ass,264.0
dick for cheese,264.0
big swinging dick,263.0
hot buttered elves,263.0
toronto blue jays,263.0
pasty white pastrami,263.0
grinds my gears,263.0
jumping the shark,263.0
above the influence,263.0
c and e,263.0
dumb and dumber,263.0
pull the goalie,263.0
brighton high school,263.0
coonery and buffoonery,262.0
full circle moment,262.0
small penis syndrome,262.0
ohio state university,262.0
kappa alpha psi,262.0
german knuckle cake,262.0
one minute man,262.0
late night tip,261.0
know it all,261.0
dickerson middle school,261.0
tommy try hard,261.0
the bee's knees,261.0
ring of fire,260.0
smoke and mirrors,260.0
chupa mi pito,260.0
im in ur,260.0
three six mafia,260.0
cooking with gas,260.0
suck a dick,259.0
backdoor sluts 9,259.0
trick ass mark,259.0
the cool kids,259.0
true blue falcon,259.0
oh my gosh,259.0
linkin park fan,259.0
shooting the shit,259.0
made in china,258.0
rusty sheriff's badge,258.0
bert and ernie,258.0
angry german kid,257.0
in soviet russia...,257.0
civil air patrol,257.0
erin go bragh,257.0
straight outta compton,257.0
straight edge sex,257.0
singles awareness day,257.0
spiderman dat hoe,257.0
royce da 5'9,257.0
sit on it,257.0
the postal service,257.0
kingdom hearts 2,256.0
fuck the government,256.0
cuerno de chivo,256.0
the goddamn batman,256.0
bin laden weed,256.0
high school sweetheart,255.0
bum fuck egypt,255.0
captain jack sparrow,255.0
