word,score
jump the shark,2204.0
john lennon,2202.0
chipmunk gift,2199.0
thumbs up,2198.0
jive turkey,2193.0
world war ii,2184.0
yippie ki-yay,2184.0
dutch rudder,2183.0
white girl,2181.0
penis game,2180.0
finger a girl,2177.0
donkey show,2176.0
good lookin' out,2170.0
textual intercourse,2166.0
fuck it,2158.0
spin doctor,2157.0
punk rock,2157.0
patriot act,2154.0
i pity the fool,2150.0
programmer's tan,2142.0
rick roll,2142.0
bitch please,2138.0
dr. dre,2137.0
toss salad,2135.0
sleep slut,2132.0
steve irwin,2123.0
foot fetish,2120.0
what's up,2120.0
wide stance,2118.0
chum fume,2116.0
wife beater,2115.0
foul-weather friend,2113.0
jack thompson,2112.0
tech n9ne,2101.0
purple drank,2096.0
carlos mencia,2095.0
ass to ass,2090.0
queef greased,2087.0
drunk catcher,2086.0
swamp ass,2083.0
disco nap,2082.0
red hot chili peppers,2079.0
kobe bryant,2076.0
osama bin laden,2074.0
smell check,2074.0
taco bell,2069.0
busted tees,2067.0
whale tail,2062.0
happy trail,2062.0
t bag,2057.0
doctor who,2053.0
madam's apple,2050.0
clint eastwood,2047.0
yoko ono,2044.0
trap house,2032.0
rut ro,2032.0
half and half,2028.0
3rd base,2020.0
uncle tom,2019.0
salad fingers,2012.0
the eiffel tower,2010.0
mile high club,2009.0
ku klux klan,2007.0
hulk out,2006.0
fo shizzle my nizzle,2002.0
purple haze,1992.0
chili dog,1991.0
laid back,1988.0
jimmy page,1987.0
texas chili bowl,1985.0
whiskey dick,1984.0
check your vitals,1983.0
laying pipe,1979.0
emo kid,1979.0
meat wallet,1976.0
panic! at the disco,1971.0
hot lunch,1971.0
nigga moment,1969.0
arrested development,1967.0
white dick,1966.0
yellow listed,1965.0
bust a nut,1962.0
san francisco,1962.0
driver's arm,1961.0
new brunswick,1960.0
john mccain,1958.0
reverse cowgirl,1955.0
freudian slip,1955.0
this is sparta,1954.0
point of no return,1952.0
hip hop,1951.0
stupid nigger,1951.0
smack cracker,1944.0
mental constipation,1944.0
we need to talk,1937.0
urban thesaurus,1937.0
rat man,1937.0
soviet russia,1936.0
explosive diarrhea,1935.0
invader zim,1934.0
heavy metal,1933.0
highway salute,1933.0
frank iero,1932.0
poo my dime,1929.0
6th base,1928.0
break the seal,1926.0
tony blair,1924.0
it's been real,1923.0
son of a bitch,1920.0
thesaurus rex,1920.0
sausage fest,1919.0
kool aid,1906.0
god damn motherfucking shitty fucking shit fuckers,1900.0
rain check,1900.0
nuts to butts,1891.0
a horrible pixelated shot of an underdeveloped highschool freshman in their underwear trying their best to make a seductive face,1890.0
playstation 3,1889.0
double penetration,1885.0
catcher in the rye,1885.0
california car pool,1885.0
onion booty,1884.0
o face,1881.0
scene kids,1875.0
girlfriend button,1875.0
first base,1868.0
american eagle,1860.0
nice guy,1859.0
butt sex,1854.0
cloud 9,1849.0
carpet muncher,1849.0
kanye west,1839.0
throw shade,1836.0
shut the fuck up,1834.0
pussy juice,1830.0
skeet skeet,1827.0
simple plan,1826.0
bitch ass nigga,1824.0
pretty boy,1822.0
lipstick lesbian,1819.0
rack off,1815.0
baby girl,1813.0
tits or gtfo,1811.0
on blast,1802.0
nigger rich,1799.0
durka durka,1798.0
the office,1795.0
pamela anderson,1795.0
bitch slap,1792.0
hot pocket,1791.0
bite me,1790.0
flirt to convert,1790.0
nice guy syndrome,1790.0
youtube poop,1789.0
space docking,1787.0
pimp hand,1786.0
you already know,1785.0
the strokes,1782.0
mouse arrest,1781.0
jungle bunny,1780.0
open relationship,1776.0
gore effect,1776.0
bearded clam,1775.0
roger that,1775.0
combat nap,1773.0
conan o'brien,1768.0
fo sho,1768.0
curb stomp,1768.0
thats what she said,1765.0
rainbow party,1764.0
affirmative action,1761.0
2nd base,1760.0
sirius black,1757.0
placebo button,1755.0
i put on my wizard hat,1755.0
white power,1753.0
( . y . ),1753.0
jacking off,1752.0
