Name,Total UD Bigram,Unique UD Bigram %,Total UD Trigram,Unique UD Trigram %,Roberta Review Score,Roberta Bigram Score,Roberta Trigram Score,VADER Review Score,VADER Bigram Score,VADER Trigram Score,Pre-Processed,Spell Checked
WPP_MoodMeter_compoundSpellCorrected,16305,0.0631%,15438,0.0062%,0.6731,0.4101,0.39,0.5501,0.1414,0.1925,1,1
WPP_MoodMeter_customSpellCorrected,16370,0.0624%,15504,0.0062%,0.6752,0.4088,0.3891,0.5499,0.1405,0.1914,1,1
WPP_MoodMeter_customTextBlobSpellCorrected,16526,0.0608%,15658,0.0062%,0.672,0.4089,0.3882,0.5568,0.1381,0.1882,1,1
WPP_MoodMeter_spellCorrected,16140,0.0616%,15274,0.0062%,0.676,0.4086,0.3894,0.549,0.1417,0.193,1,1
WPP_MoodMeter_standardTextBlobSpellCorrected,16363,0.0561%,15493,0.0062%,0.6368,0.4068,0.3845,0.5594,0.1402,0.191,1,1
WPP_Replika,2557628,1.9091%,2344299,0.2052%,0.7069,0.453,0.4477,0.4934,0.1799,0.2358,1,0
WPP_Replika_compoundSpellCorrected,2486584,1.8989%,2277935,0.1648%,0.6946,0.4492,0.4426,0.4945,0.1841,0.24,1,1
WPP_Replika_customSpellCorrected,2511966,1.8865%,2301407,0.199%,0.7005,0.4498,0.4443,0.497,0.1835,0.2396,1,1
WPP_Replika_customTextBlobSpellCorrected,2569871,1.86%,2356428,0.1927%,0.7038,0.4531,0.4471,0.4915,0.181,0.2368,1,1
WPP_Replika_spellCorrected,2403616,1.8038%,2195185,0.1399%,0.6962,0.4514,0.4474,0.4924,0.1878,0.2444,1,1
WPP_Replika_standardTextBlobSpellCorrected,2470672,1.6877%,2258894,0.143%,0.6752,0.4493,0.442,0.4768,0.1836,0.2403,1,1
WPP_Woebot,234102,0.382%,220574,0.0435%,0.7751,0.4429,0.449,0.6427,0.1933,0.2601,1,0
WPP_Woebot_compoundSpellCorrected,241253,0.3835%,227759,0.0435%,0.7584,0.4594,0.4692,0.579,0.205,0.2671,1,1
WPP_Woebot_customSpellCorrected,232720,0.3796%,219214,0.0466%,0.7708,0.4427,0.4476,0.6449,0.1953,0.2624,1,1
WPP_Woebot_customTextBlobSpellCorrected,234873,0.3718%,221345,0.0466%,0.7697,0.4433,0.4481,0.6393,0.1932,0.26,1,1
WPP_Woebot_spellCorrected,229949,0.3742%,216453,0.0404%,0.7666,0.4438,0.4508,0.6345,0.1993,0.2665,1,1
WPP_Woebot_standardTextBlobSpellCorrected,231709,0.3609%,218194,0.0435%,0.744,0.4404,0.4431,0.6422,0.1975,0.2649,1,1
WPP_Wysa,746123,0.5457%,679976,0.0591%,0.7604,0.4691,0.4874,0.5784,0.2235,0.2918,1,0
WPP_Wysa_compoundSpellCorrected,707261,0.555%,642159,0.0591%,0.747,0.4656,0.4827,0.5845,0.2325,0.3003,1,1
WPP_Wysa_customSpellCorrected,730924,0.5581%,665289,0.0591%,0.7563,0.4666,0.4847,0.5829,0.2289,0.2972,1,1
WPP_Wysa_customTextBlobSpellCorrected,749324,0.5394%,683153,0.0622%,0.7559,0.4689,0.4859,0.5758,0.2245,0.2926,1,1
WPP_Wysa_spellCorrected,699505,0.5332%,634258,0.0404%,0.7508,0.4689,0.488,0.5817,0.2343,0.3029,1,1
WPP_Wysa_standardTextBlobSpellCorrected,728545,0.5207%,662584,0.0497%,0.7317,0.4645,0.4809,0.5699,0.2276,0.2963,1,1
